testId,group,subcategory,difficulty,jd,resume,expected,expectedFailureType,notes
P001,match,synonym,easy,"디지털 마케팅 전략 수립 및 성과지표 관리 경험","온라인 마케팅 전략을 세우고 KPI를 운영한 경험",match,,"kpi alias"
P002,match,korean_english,easy,"고객관계관리 시스템 운영 경험","CRM 운영 및 고객 데이터 관리 경험",match,,"crm alias"
P003,match,tool_alias,easy,"전사적자원관리 시스템 사용 가능자","ERP 사용 및 운영 프로세스 지원 경험",match,,"erp alias"
P004,match,tool_alias,easy,"엑셀 기반 데이터 정리와 보고서 작성","Excel로 데이터 정리 및 리포트 작성 경험",match,,"excel alias"
P005,match,tool_alias,easy,"파워포인트로 경영진 보고 자료 작성","PPT로 임원 보고 자료를 제작한 경험",match,,"ppt alias"
P006,match,tool_alias,easy,"구글애널리틱스 활용 성과 분석","GA를 사용한 웹 성과 분석 경험",match,,"ga alias"
P007,match,word_order,easy,"브랜드 캠페인 기획 및 운영","운영과 기획을 포함한 브랜드 캠페인 경험",match,,"word order change"
P008,match,phrase_expansion,medium,"세일즈 데이터 분석을 통한 인사이트 도출","영업 데이터를 분석해 실행 가능한 인사이트를 제시한 경험",match,,"phrase expansion"
P009,match,action_result_shift,medium,"채널 운영 성과 개선 경험","채널을 운영하며 전환율을 개선한 경험",match,,"action result shift"
P010,match,synonym,medium,"채용 프로세스 운영 및 면접 조율","리크루팅 운영과 인터뷰 일정 조정 경험",match,,"recruiting synonym"
P011,match,korean_english,medium,"SQL을 활용한 데이터 추출 및 검증","sql 기반 데이터 조회와 검증 경험",match,,"sql lowercase"
P012,match,phrase_expansion,medium,"구매 전략기획 지원 및 시장 조사","전략기획 관점에서 구매 시장 리서치를 수행한 경험",match,,"same role phrased differently"
P013,match,word_order,medium,"인사 제도 운영과 평가 지원","평가 지원을 포함한 인사 제도 운영 경험",match,,"word order"
P014,match,synonym,medium,"성과 리포트 작성과 경영진 공유","성과 보고서를 작성해 경영진에 공유한 경험",match,,"report synonym"
P015,match,phrase_expansion,hard,"데이터 분석 결과를 시각화하고 대시보드 운영","분석 결과를 대시보드 형태로 시각화하여 운영한 경험",match,,"dashboard phrasing"
P016,partial,phrase_expansion,medium,"퍼포먼스 마케팅 캠페인 운영","디지털 마케팅 캠페인 운영 경험",partial,partial_overlap,"performance missing"
P017,partial,tool_alias,medium,"CRM 기반 리텐션 마케팅 실행","고객관계관리 시스템 운영 경험",partial,partial_overlap,"tool matches but execution weaker"
P018,partial,action_result_shift,medium,"SQL로 데이터 추출 후 리포트 자동화","SQL 데이터 추출 경험",partial,partial_overlap,"automation missing"
P019,partial,korean_english,medium,"GA와 Excel을 활용한 웹 분석","구글애널리틱스 활용 경험",partial,partial_overlap,"excel missing"
P020,partial,word_order,hard,"전략기획 수립 및 사업 계획 관리","사업 계획 운영 지원 경험",partial,partial_overlap,"planning depth missing"
P021,partial,synonym,medium,"채용 브랜딩과 리크루팅 운영","채용 운영 경험",partial,partial_overlap,"branding missing"
P022,partial,phrase_expansion,hard,"ERP 기반 재고 운영 및 구매 협업","전사적자원관리 시스템 운영 경험",partial,partial_overlap,"inventory context missing"
P023,partial,tool_alias,medium,"PPT와 Excel로 영업 보고서 작성","파워포인트 활용 보고 자료 작성 경험",partial,partial_overlap,"excel missing"
P024,reject,role_boundary,easy,"전략기획 경력 보유자","전략소싱 프로젝트 수행 경험",reject,role_boundary,"대표 reject"
P025,reject,role_boundary,easy,"마케팅 캠페인 기획 및 운영","B2B 영업 파이프라인 관리 경험",reject,role_boundary,"대표 reject"
P026,reject,role_boundary,easy,"데이터분석 담당자 채용","데이터엔지니어로 ETL 파이프라인 구축 경험",reject,role_boundary,"대표 reject"
P027,reject,must_have_drop,easy,"SQL 필수; 데이터 분석 경험","Python 데이터 분석 경험",reject,must_have_missing,"대표 reject"
P028,reject,must_have_drop,easy,"ERP 필수; 운영 프로세스 관리","일반 운영 경험 및 문서 정리",reject,must_have_missing,"대표 reject"
P029,reject,role_boundary,medium,"인사 운영 담당","총무 및 자산 관리 경험",reject,role_boundary,"hr vs admin"
P030,reject,must_have_drop,medium,"CRM must have; 세일즈 운영 지원","영업 운영 경험",reject,must_have_missing,"crm missing"
P031,reject,must_have_drop,medium,"Excel required; 월간 성과 보고","파워포인트 보고 자료 작성 경험",reject,must_have_missing,"excel missing"
P032,reject,must_have_drop,medium,"GA 필수; 디지털 광고 성과 분석","마케팅 카피 작성 경험",reject,must_have_missing,"ga missing"
P033,reject,role_boundary,hard,"데이터엔지니어 채용; 파이프라인 운영","대시보드 중심 데이터분석 경험",reject,role_boundary,"reverse representative"
P034,reject,role_boundary,hard,"영업 조직 관리 경험","브랜드 마케팅 전략 경험",reject,role_boundary,"marketing vs sales reverse"
P035,reject,must_have_drop,hard,"SQL required; BI 대시보드 운영","엑셀 리포트 작성 경험",reject,must_have_missing,"sql missing despite analytics"
P036,reject,must_have_drop,hard,"ERP must; 구매 운영 및 재고 관리","고객 응대 중심 운영 경험",reject,must_have_missing,"erp missing"
P037,unknown_safe,synonym,easy,"커뮤니케이션 역량 우수자","대내외 협업 경험",unknown_safe,insufficient_evidence,"generic soft skill"
P038,unknown_safe,phrase_expansion,medium,"문제 해결 중심 운영 지원","다양한 프로젝트 지원 경험",unknown_safe,insufficient_evidence,"too broad"
P039,unknown_safe,korean_english,medium,"비즈니스 영어 가능자","해외 파트너와 메일 커뮤니케이션 경험",unknown_safe,insufficient_evidence,"language ambiguity"
P040,unknown_safe,action_result_shift,hard,"조직 운영 효율화 경험","운영 프로세스 개선 아이디어 제안 경험",unknown_safe,insufficient_evidence,"effect not proven"
P041,unknown_safe,role_boundary,hard,"사업 지원 전반 담당","기획과 운영을 모두 지원한 경험",unknown_safe,insufficient_evidence,"broad mixed role"
P042,match,synonym,medium,"세일즈 운영 지원 경험","영업 운영 지원 경험",match,,"job synonym sales"
P043,match,synonym,medium,"리크루팅 프로세스 운영","채용 프로세스 운영 경험",match,,"job synonym recruiting"
P044,match,synonym,medium,"웹 분석 보고서 작성","디지털 분석 보고서 작성 경험",match,,"job synonym analytics"
P045,match,action_result_shift,medium,"데이터 조회 및 검증","데이터 추출과 검증 경험",match,,"action synonym query extract"
P046,match,action_result_shift,medium,"임원 공유 자료 작성","경영진 보고서 작성 경험",match,,"action synonym executive report"
P047,match,phrase_expansion,medium,"전환율 개선 캠페인 운영","성과 개선 중심 캠페인 운영 경험",match,,"result expression substitution"
P048,match,phrase_expansion,medium,"성과지표 관리 및 리포트 작성","KPI 관리와 보고서 작성 경험",match,,"result expression kpi report"
P049,match,tool_alias,medium,"CRM 운영 및 고객 데이터 관리","고객관계관리 시스템 운영 경험",match,,"tool alias crm expansion"
P050,match,tool_alias,medium,"ERP 기반 운영 프로세스 관리","전사적자원관리 운영 경험",match,,"tool alias erp expansion"
P051,match,tool_alias,medium,"GA 기반 성과 분석","구글애널리틱스 활용 성과 분석 경험",match,,"tool alias ga expansion"
P052,match,word_order,medium,"브랜드 캠페인 기획 및 운영","운영과 기획을 포함한 브랜드 캠페인 경험",match,,"sentence structure variation branding"
P053,match,word_order,medium,"채용 운영과 면접 조율","면접 조율을 포함한 채용 운영 경험",match,,"sentence structure variation recruiting"
