"branch","group","risk","last_commit_date","subject","connected_worktree","reason","recommended_action"
"fix/newgrad-axis2-industry-copy-separation-clean-v2","D","HIGH","2026-05-09","fix(newgrad): separate industry context copy in Axis2","","recent_7d","SKIP_DANGER"
"fix/newgrad-axis2-lift-rendering-field","C","MEDIUM","2026-05-03","fix(newgrad): render Axis2 industry lift guidance","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis2-pharma-ra-specialization","D","HIGH","2026-05-12","feat(axis2): add pharmaceutical횞REGULATORY_AFFAIRS specialization entry","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis2-repeatability-export","D","HIGH","2026-05-03","Merge pull request #60 from true-hr/fix/newgrad-axis2-card3-industry-archetypes-batch1a","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis3-detail-reading-phase1","C","MEDIUM","2026-05-04","fix(newgrad): soften axis4 conservative tone wording","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis3-detail-reading-phase1-clean","D","HIGH","2026-05-04","fix(newgrad): improve axis3 detail reading with input-based copy","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis3-detail-signal-separation","C","MEDIUM","2026-05-04","fix(newgrad): route axis4 stakeholder copy to comparison block","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis3-detail-signal-separation-clean","C","MEDIUM","2026-05-04","fix(newgrad): separate Axis3 detail reading signals for outcome/repeatability/combination","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis3-experience-evidence-grounding-clean","C","MEDIUM","2026-05-04","fix(newgrad): improve Axis3 experience evidence grounding with job-specific translations","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis3-final-explanation-entrypoint","D","HIGH","2026-05-04","fix(newgrad): centralize Axis3 final explanation output","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis3-phase3-qa-polish","D","HIGH","2026-05-04","fix(newgrad): polish axis3 empty and mixed experience guidance","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis4-comparison-block-output-path","C","MEDIUM","2026-05-04","Merge pull request #102 from true-hr/chore/vercel-production-redeploy-trigger","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-conservative-tone-hotfix","D","HIGH","2026-05-04","fix(newgrad): soften axis4 conservative tone wording","","danger_pattern","SKIP_DANGER"
"fix/newgrad-axis4-copy-variation-final","C","MEDIUM","2026-05-04","fix(newgrad): axis4 stakeholder role hint copy structure - clean","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-evidence-transmission-clean","D","HIGH","2026-05-09","fix(newgrad): pass axis4 interaction evidence to buildNewgradAxisPack","","recent_7d","SKIP_DANGER"
"fix/newgrad-axis4-job-stakeholder-profiles-batch1","C","MEDIUM","2026-05-04","fix(newgrad): correct Axis4 PMM stakeholder profile key mapping","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-p3-industry-context-registry","C","MEDIUM","2026-05-04","feat(newgrad): add axis4 industry stakeholder context registry","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-p3-render-industry-context","C","MEDIUM","2026-05-04","feat(newgrad): add 15 new industries to axis2 batch 2-E registry","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-p3-wire-industry-context","C","MEDIUM","2026-05-04","feat(newgrad): wire axis4 industry context into evidence summary","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-stakeholder-context-grounding","C","MEDIUM","2026-05-04","fix(newgrad): define Axis4 FP&A stakeholder context","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-stakeholder-copy-variation-clean","C","MEDIUM","2026-05-04","fix(newgrad): vary axis4 stakeholder role hint copy clean","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-typo-match-contact","C","MEDIUM","2026-05-04","fix(newgrad): correct axis4 contact typo","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis5-detail-render-contract","D","HIGH","2026-05-03","fix(newgrad): render axis5 judgment copy in detail cards","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis5-get-strength-groups-hotfix","D","HIGH","2026-05-03","Merge pull request #31 from true-hr/fix/newgrad-axis5-soft-trait-profile-clean","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis5-get-strength-groups-hotfix-v2","D","HIGH","2026-05-03","fix(newgrad): define axis5 trait group helpers","","danger_pattern","SKIP_DANGER"
"fix/newgrad-axis5-service-planning-traits","D","HIGH","2026-05-09","fix(transition): calibrate experienced role scoring","","recent_7d","SKIP_DANGER"
"fix/newgrad-axis5-service-planning-traits-clean","D","HIGH","2026-05-09","fix(newgrad): use service planning axis5 copy profile","","recent_7d","SKIP_DANGER"
"fix/newgrad-axis5-strength-workstyle-grounding","C","MEDIUM","2026-05-04","fix(newgrad): improve Axis4 stakeholder context grounding","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-industry-archetype-alias-match","D","HIGH","2026-05-09","fix(newgrad): refine borderline industry archetype aliases","","recent_7d","SKIP_DANGER"
"fix/newgrad-job-alias-coverage-phase1","D","HIGH","2026-05-03","Merge pull request #34 from true-hr/fix/newgrad-axis5-profile-coverage","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-legal-services-archetype","D","HIGH","2026-05-09","fix(newgrad): add legal services industry archetype","","recent_7d","SKIP_DANGER"
"fix/newgrad-mixed-market-b2bsignal","D","HIGH","2026-05-09","fix(newgrad): generalize mixed-market signal text","","recent_7d","SKIP_DANGER"
"fix/newgrad-mobile-goal-connection-structure-compact","C","MEDIUM","2026-05-05","fix(newgrad): move goal connection before radar","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-whatif-priority-map-step7a","D","HIGH","2026-05-11","fix(newgrad): prioritize what-if actions by target job","YES","worktree_attached","SKIP_DANGER"
"fix/openai-provider-resume-generate","D","HIGH","2026-05-02","feat(ai): add OpenAI provider for resume generation","YES","worktree_attached","SKIP_DANGER"
"fix/openai-worker-vercel-delegation","D","HIGH","2026-05-04","fix(ai): delegate OpenAI calls through Vercel proxy","","danger_pattern","SKIP_DANGER"
"fix/precise-analysis-result-rendering","C","MEDIUM","2026-05-07","fix(precise-analysis): fix runtime scope errors in analysis execution","","recent_14d","REVIEW_THEN_DELETE"
"fix/record-ai-cta-and-type-examples","D","HIGH","2026-05-02","fix(record): restore type examples and AI CTA state","YES","worktree_attached","SKIP_DANGER"
"fix/record-auth-ai-cta-state","D","HIGH","2026-05-02","fix(record): align auth state for saved records and AI CTA","YES","worktree_attached","SKIP_DANGER"
"fix/rejection-p3-1b-grounded-ai-prompt-quality","D","HIGH","2026-05-09","fix(rejection): stabilize grounded AI explanation prompt","","recent_7d","SKIP_DANGER"
"fix/reminder-settings-disclosure","D","HIGH","2026-05-11","fix(reminder): make notification settings expandable","","recent_7d","SKIP_DANGER"
"fix/reminder-settings-ui-cleanup","D","HIGH","2026-05-11","refactor(reminder): simplify settings experience","YES","worktree_attached","SKIP_DANGER"
"fix/report-accuracy-p0-integrated","C","MEDIUM","2026-05-07","fix(experienced): integrate validation intro and QC copy fixes","","recent_14d","REVIEW_THEN_DELETE"
"fix/required-gate-signals-risk-ctx","D","HIGH","2026-05-11","feat(decision): pass required gate signals into risk ctx","","recent_7d","SKIP_DANGER"
"fix/resume-ai-after-card-clean","D","HIGH","2026-05-08","feat(precise-analysis): add AI recruiter-view rejection analysis","","recent_7d","SKIP_DANGER"
"fix/resume-ai-after-card-loading-state","D","HIGH","2026-05-08","Merge pull request #158 from true-hr/fix/resume-ai-after-card-loading-state","","recent_7d","SKIP_DANGER"
"fix/resume-ai-after-preview-debug","C","MEDIUM","2026-05-06","Merge pull request #145 from true-hr/fix/resume-ai-state-render-binding","","recent_14d","REVIEW_THEN_DELETE"
"fix/resume-ai-bullet-preview-rendering-clean","C","MEDIUM","2026-05-06","fix(resume): render successful AI bullet in preview","","recent_14d","REVIEW_THEN_DELETE"
"fix/resume-ai-input-loading-before-navigation","D","HIGH","2026-05-08","fix(career): ground validation cards in current context","","recent_7d","SKIP_DANGER"
"fix/resume-ai-production-response-diagnosis","C","MEDIUM","2026-05-06","Merge pull request #144 from true-hr/fix/resume-ai-success-state-binding","","recent_14d","REVIEW_THEN_DELETE"
"fix/resume-ai-selected-record-source-binding","C","MEDIUM","2026-05-06","fix(resume): bind selected record to AI update preview","","recent_14d","REVIEW_THEN_DELETE"
"fix/resume-ai-source-binding-audit-clean","D","HIGH","2026-05-06","Merge pull request #145 from true-hr/fix/resume-ai-state-render-binding","YES","worktree_attached","SKIP_DANGER"
"fix/resume-ai-state-render-binding","D","HIGH","2026-05-06","fix(resume): bind AI generated bullet to update preview","YES","worktree_attached","SKIP_DANGER"
"fix/resume-ai-success-state-binding","C","MEDIUM","2026-05-06","fix(resume): bind successful AI bullets to preview state","","recent_14d","REVIEW_THEN_DELETE"
"fix/resume-import-button-wire","D","HIGH","2026-05-03","fix(resume): wire import button to JSON file picker","YES","worktree_attached","SKIP_DANGER"
"fix/resume-json-import-export-download","D","HIGH","2026-05-03","feat(resume): enable JSON import export and markdown download","YES","worktree_attached","SKIP_DANGER"
"fix/revert-axis2-batch2e-from-axis4-pr94","C","MEDIUM","2026-05-04","Revert ""feat(newgrad): add 15 new industries to axis2 batch 2-E registry""","","recent_14d","REVIEW_THEN_DELETE"
"fix/seniority-gate-year-unit-clean","D","HIGH","2026-05-11","fix(decision): align seniority gate gap unit with years","","recent_7d","SKIP_DANGER"
"fix/validation-cards-current-context","D","HIGH","2026-05-08","Merge pull request #158 from true-hr/fix/resume-ai-after-card-loading-state","YES","worktree_attached","SKIP_DANGER"
"fix/vercel-api-function-count-consolidation","D","HIGH","2026-05-09","fix(vercel): consolidate API functions under hobby limit","","recent_7d","SKIP_DANGER"
"fix/work-record-ai-example-card-ux","D","HIGH","2026-05-13","fix(work-record): improve AI example card UX","YES","worktree_attached","SKIP_DANGER"
"fix/work-record-font-size-round3","D","HIGH","2026-05-09","fix(work-record): increase experience input font size","","recent_7d","SKIP_DANGER"
"fix/work-record-font-size-round3-clean","D","HIGH","2026-05-09","fix(work-record): further increase experience input font size","YES","worktree_attached","SKIP_DANGER"
"fix/worker-resume-import-duplicate-helper","D","HIGH","2026-05-04","fix(worker): avoid duplicate resume import date helper","YES","worktree_attached","SKIP_DANGER"
"fix/worker-smart-placement-ai-provider","D","HIGH","2026-05-02","fix(worker): enable smart placement for AI provider","YES","worktree_attached","SKIP_DANGER"
"hotfix/github-pages-transition-lite-jsx-close","D","HIGH","2026-05-04","fix(report): close consulting CTA JSX conditional","","danger_pattern","SKIP_DANGER"
"hotfix/main-industry-registry-build","D","HIGH","2026-05-04","fix(newgrad): restore industry registry build","YES","worktree_attached","SKIP_DANGER"
"hotfix/p3b5-remove-axis2-contamination","D","HIGH","2026-05-03","fix(newgrad): remove unintended axis2 batch2a doc from p3b5 merge","YES","worktree_attached","SKIP_DANGER"
"investigate/ai-draft-button-disabled-root","D","HIGH","2026-05-03","Merge pull request #24 from true-hr/fix/ai-resume-button-current-user-gate","YES","worktree_attached","SKIP_DANGER"
"investigate/newgrad-axis1-input-contract","D","HIGH","2026-05-03","Merge branch 'release/career-transition-copy-quality-batch-4e'","YES","worktree_attached","SKIP_DANGER"
"investigate/newgrad-axis1-job-action-source","D","HIGH","2026-05-03","Merge branch 'release/career-transition-copy-quality-batch-4e'","YES","worktree_attached","SKIP_DANGER"
"investigate/newgrad-axis5-detail-render-contract","D","HIGH","2026-05-03","Merge pull request #27 from true-hr/fix/newgrad-axis5-fit-and-category-actions","YES","worktree_attached","SKIP_DANGER"
"investigate/newgrad-axis5-engine-gap-audit","D","HIGH","2026-05-03","Merge pull request #25 from true-hr/release/newgrad-axis5-judgment-output","YES","worktree_attached","SKIP_DANGER"
"investigate/newgrad-runtime-sample-output-retry","D","HIGH","2026-05-03","Merge branch 'release/career-transition-smoke-coverage-operations-planning'","YES","worktree_attached","SKIP_DANGER"
"investigate/resume-ai-import","D","HIGH","2026-05-03","Merge pull request #58 from true-hr/fix/resume-import-button-wire","YES","worktree_attached","SKIP_DANGER"
"investigate/resume-import-export-ai","D","HIGH","2026-05-03","Merge pull request #51 from true-hr/hotfix/p3b5-remove-axis2-contamination","YES","worktree_attached","SKIP_DANGER"
"investigate/resume-import-export-download","D","HIGH","2026-05-03","Merge pull request #48 from true-hr/fix/newgrad-axis2-batch2a-copy-quality","YES","worktree_attached","SKIP_DANGER"
"main","A","PROTECTED","2026-05-15","fix(cleanup): detect worktree remove failures","","protected pattern","PROTECT"
"qa/axis1-round3-output-quality","C","MEDIUM","2026-05-04","docs(newgrad): audit round3 axis1 output quality","","recent_14d","REVIEW_THEN_DELETE"
"qa/axis1-special-output-quality","C","MEDIUM","2026-05-04","docs(newgrad): audit special axis1 output quality","","recent_14d","REVIEW_THEN_DELETE"
"qa/axis2-batch2a-post-qa","D","HIGH","2026-05-04","Merge pull request #67 from true-hr/fix/axis1-industrial-engineering-pm-bridge","YES","worktree_attached","SKIP_DANGER"
"qa/axis2-batch2a-runtime-output","D","HIGH","2026-05-03","Merge pull request #45 from true-hr/fix/newgrad-axis1-role-profiles-p3b3","YES","worktree_attached","SKIP_DANGER"
"qa/newgrad-axis1-final-quality","D","HIGH","2026-05-03","docs(newgrad): record Axis1 final quality QA","YES","worktree_attached","SKIP_DANGER"
"qa/newgrad-axis1-full-structure-investigation","D","HIGH","2026-05-03","Merge pull request #52 from true-hr/fix/newgrad-axis2-comparison-block-copy","YES","worktree_attached","SKIP_DANGER"
"qa/newgrad-axis2-batch2a-copy-surface","D","HIGH","2026-05-03","Merge pull request #48 from true-hr/fix/newgrad-axis2-batch2a-copy-quality","YES","worktree_attached","SKIP_DANGER"
"qa/newgrad-axis2-comparison-block-investigation","D","HIGH","2026-05-03","Merge pull request #48 from true-hr/fix/newgrad-axis2-batch2a-copy-quality","YES","worktree_attached","SKIP_DANGER"
"qa/newgrad-axis3-phase2-representative-cases","D","HIGH","2026-05-04","Merge pull request #82 from true-hr/fix/newgrad-axis3-detail-reading-phase1-clean","YES","worktree_attached","SKIP_DANGER"
"qa/newgrad-axis3-phase3-postqa","D","HIGH","2026-05-04","Merge pull request #84 from true-hr/fix/newgrad-axis3-phase3-qa-polish","YES","worktree_attached","SKIP_DANGER"
"qa/newgrad-axis4-p1-hotfix-partial-reqa","D","HIGH","2026-05-04","docs(newgrad): reqa axis4 p1 hotfix partial cases","","danger_pattern","SKIP_DANGER"
"qa/newgrad-axis4-p2-batch2-after-merge-reqa","C","MEDIUM","2026-05-04","qa(newgrad): comprehensive after-merge reqa for axis4 p2 batch 2 read path","","recent_14d","REVIEW_THEN_DELETE"
"qa/newgrad-report-e2e-after-axis1","C","MEDIUM","2026-05-04","docs(newgrad): audit report quality after axis1 enhancement","","recent_14d","REVIEW_THEN_DELETE"
"refactor/00-safety","D","HIGH","2026-02-13","update","","danger_pattern","SKIP_DANGER"
"refactor/01-utils","D","HIGH","2026-02-19","fix: adapt decision risks to hypothesis cards","","danger_pattern","SKIP_DANGER"
"release/ai-resume-cta-discoverability","A","PROTECTED","2026-05-02","refactor(ui): reposition AI resume CTA and declutter record screen","","protected pattern","PROTECT"
"release/ai-resume-mvp-main","A","PROTECTED","2026-05-02","feat: add AI resume bullet generation MVP","","protected pattern","PROTECT"
"release/career-transition-batch-3a","A","PROTECTED","2026-05-02","feat: add planning and account management transition archetypes","","protected pattern","PROTECT"
"release/career-transition-batch-3b","A","PROTECTED","2026-05-02","feat: add sales marketing and data transition archetypes","","protected pattern","PROTECT"
"release/career-transition-batch-3d-cx","A","PROTECTED","2026-05-02","feat: add customer experience transition archetypes","","protected pattern","PROTECT"
"release/career-transition-commerce-md-taxonomy","A","PROTECTED","2026-05-02","feat: add commerce operations and merchandising taxonomy (Batch 3-C)","","protected pattern","PROTECT"
"release/career-transition-copy-quality-batch-4b","A","PROTECTED","2026-05-03","fix: improve career transition copy quality batch 4b","","protected pattern","PROTECT"
"release/career-transition-copy-quality-batch-4c","A","PROTECTED","2026-05-03","fix: improve career transition copy quality batch 4c","","protected pattern","PROTECT"
"release/career-transition-copy-quality-batch-4e","A","PROTECTED","2026-05-03","fix: improve career transition copy quality batch 4e","","protected pattern","PROTECT"
"release/career-transition-cs-cx-taxonomy","A","PROTECTED","2026-05-02","feat: add customer success transition archetypes","","protected pattern","PROTECT"
"release/career-transition-customer-ops-cx-planning-archetypes","A","PROTECTED","2026-05-02","feat: add customer ops CX planning archetypes","","protected pattern","PROTECT"
"release/career-transition-cx-planning-taxonomy","A","PROTECTED","2026-05-02","feat: add CX planning transition taxonomy","","protected pattern","PROTECT"
"release/career-transition-finance-fpa-archetypes","A","PROTECTED","2026-05-02","feat: add finance transition archetypes","","protected pattern","PROTECT"
"release/career-transition-hrbp-archetypes","A","PROTECTED","2026-05-02","feat: add HRBP transition archetypes","","protected pattern","PROTECT"
"release/career-transition-procurement-scm-archetypes","A","PROTECTED","2026-05-02","feat: add procurement SCM transition archetypes","","protected pattern","PROTECT"
"release/career-transition-resolver-v1","A","PROTECTED","2026-05-02","feat: add marketing transition archetypes","","protected pattern","PROTECT"
"release/career-transition-smoke-coverage-batch-3c-3e","A","PROTECTED","2026-05-02","test: cover batch 3 career transition archetypes","","protected pattern","PROTECT"
"release/career-transition-smoke-coverage-marketing-sales","A","PROTECTED","2026-05-03","test: cover marketing sales transition archetypes","","protected pattern","PROTECT"
"release/career-transition-smoke-coverage-operations-planning","A","PROTECTED","2026-05-03","test: cover operations planning transition archetypes","","protected pattern","PROTECT"
"release/career-transition-smoke-coverage-tech-data","A","PROTECTED","2026-05-03","test: cover tech data transition archetypes","","protected pattern","PROTECT"
"release/mobile-app-shell-clean","A","PROTECTED","2026-05-02","feat(mobile): add clean mobile app shell release","","protected pattern","PROTECT"
"release/newgrad-axis5-judgment-output","A","PROTECTED","2026-05-03","fix(newgrad): tighten axis5 judgment output quality","","protected pattern","PROTECT"
"release/what-if-ui-only","A","PROTECTED","2026-05-02","feat: release newgrad what-if UI update","","protected pattern","PROTECT"
"research/newgrad-detail-copy-criteria","D","HIGH","2026-05-03","Merge branch 'release/career-transition-copy-quality-batch-4e'","YES","worktree_attached","SKIP_DANGER"
"restore/ui-test","D","HIGH","2026-05-01","fix(supabase): repair migration syntax errors in sql/1 and sql/3","YES","worktree_attached","SKIP_DANGER"
"stable/20260301","B","LOW","2026-03-02","fix(api): add CORS + OPTIONS for /api/parse","","merged_stale","DELETE_SAFE"
"temp-safe","C","MEDIUM","2026-05-04","Merge pull request #81 from true-hr/qa/newgrad-report-e2e-after-axis1","","recent_14d","REVIEW_THEN_DELETE"
"temp/compound-creative-infra-read","D","HIGH","2026-05-08","fix(career): handle creative infra compound read","","recent_7d","SKIP_DANGER"
